generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.74	0110000000001010101110111101000111101101101001011101001100001111	0.625	0.9814554326228548
1	0	0.74	1011100011001110101100110101011001000001110101000011001110101101	0.625	0.9587848503747626
2	0	0.8	0100001111011001100010001011001100100010110110011000000011001011	0.75	0.9104699912068617
3	0	0.74	0011000011001110101100110101110100010001100001101001011100100111	0.65625	0.8587746266345476
4	0	0.72	1101110101110001111010111001111001000001110101010001000011001011	0.65625	0.820992801935442
5	0	0.78	0111000011000000011100110100111001001011110001101000000011001011	0.6875	0.7888899972370838
6	0	0.76	0110010100010111110100000111100001000001110101011001010011001011	0.65625	0.7816831697936059
7	0	0.74	0001000100001100011100110101101001001011110001101000000011001011	0.625	0.8021794380671544
8	0	0.82	0001000100001100011100000111100011111101100101010001001010101110	0.625	0.7804013871209785
9	0	0.76	1001001100011010010100011001011001010011101111100111001110101110	0.71875	0.7764413695207876
10	0	0.8	1001001100011010010100011001011001010011101111100111001110101110	0.71875	0.7437890193016193
11	0	0.8	1001001000011101011100110101010000011001100111100100101110001011	0.6875	0.6970891693451498
12	0	0.82	1111001000100101110100110101101001000001101111101000000011001011	0.6875	0.6758262101718118
13	0	0.76	0110010100010101110100000101011011101010101111100110000010101110	0.6875	0.7039777094923932
14	0	0.8	1001001100001010010100011001111001000001101111101000001010001111	0.6875	0.6991926562091662
15	0	0.82	0110001100011010010100011001111001000001101111101000001010001111	0.65625	0.6643479878101869
16	0	0.82	1001001100001011110100111001111001000001111111100100001110101011	0.6875	0.6251424621943716
17	0	0.8	0010001100011011111010000101100011111001101101101000001010001111	0.65625	0.6169023073683095
18	0	0.8	1001001100001011110100110101101001010001111111100100001110101111	0.6875	0.6358055684113508
19	0	0.76	0110001100011101111011000101101011100001101111111000000010000111	0.65625	0.6655899785975371
20	0	0.84	0110000100011010010100011000101001001010101111100110000010001011	0.65625	0.6315907524309989
21	0	0.78	0110001100001010010110011011111001011010101111100110000010001010	0.6875	0.5980952714548496
22	0	0.76	0110000100011010010100011000101001001000001111100100001110101010	0.75	0.5147917885430443
23	0	0.78	0110000100011010010100011000101001001010101111100110000010101110	0.6875	0.4414782288341779
24	0	0.86	0011000100111010010100011000101001001000001111100100001110101010	0.71875	0.4098215874955301
25	0	0.82	0011000100111010010100011000101001001000001111100100000111001010	0.75	0.45873325867185444
26	0	0.84	0111000100111010010100011000101001001000001111100100000111001010	0.78125	0.39604070549185993
27	0	0.84	0110000100011010010100011000101001000000001111100100000111001010	0.8125	0.3941669349238961
28	0	0.84	0111000100111110010100011000101001011000001111101111000010101010	0.78125	0.40449492442447105
29	0	0.8	0110000100111000000100011000101001111010101111100110000010101010	0.625	0.4081575505806347
30	0	0.86	0000001000011010010100011010111001001010101111100100000010101110	0.78125	0.4049504982401461
31	0	0.84	0110000100011110010100011011111001000000101111100100001110101110	0.78125	0.4250085489289292
32	0	0.86	0111001000011010010100011011111001011010101111100100001110101110	0.75	0.4449721922125696
33	0	0.88	1110001000011010010100011011111001000000101110100100001110101010	0.71875	0.4362874695946404
34	0	0.9	1100000100111010010100011011101001000001001111001100001110101010	0.78125	0.43229734036733797
35	0	0.86	1110000100011110110100011011111001000000101110100100001110101010	0.71875	0.4344525028660192
36	0	0.84	0100000100011010010100011011110001000000001111100100001110101010	0.75	0.4110361809660597
37	0	0.86	0110000100111110010100011011111101000000001111100111000110001010	0.78125	0.37282510928096974
38	0	0.84	0110000100111010010100011011110001000000001111100100001110101110	0.78125	0.35334045459923474
39	0	0.9	1100000110111010010100011011111001000000101111100100001110111010	0.84375	0.33362253130202196
40	0	0.94	0110000100111010010100011011101001100000101110100100001110101010	0.84375	0.29815228465559807
41	0	0.9	0110000100111010010100011011101001100000101110100100001110101010	0.84375	0.2874045439614618
42	0	0.94	0110000100011010010100011011101001100000101110100110001110111010	0.8125	0.3040516502059495
43	0	0.88	1100000110111010110100011011111001000000101111100110000110101110	0.8125	0.2794476568702184
44	0	0.9	0110010100111010010100011011101001100000101110100110001110111010	0.8125	0.24585019066114808
45	0	0.92	0110000100101110010100011011101001100000001111100111000110111010	0.90625	0.25643974964360355
46	0	0.88	0100000100111010110000011011101001100001101110100110001110101000	0.8125	0.2941650426130255
47	0	0.9	0110000110111011010100011011101011100000101110100110001110111010	0.8125	0.28746868665609243
48	0	0.9	0110000100111010010100011011101001000000101110100110001110111010	0.84375	0.24161884591363164
49	0	0.9	0110000100111010010000011011101001100000101110100110001100111010	0.875	0.260717413131089
50	0	0.94	0110000100111010010100011011101001100001101110100110001110111010	0.875	0.2775487622767364
51	0	0.96	0110000100111010010000011011101001100001101110100110001110111010	0.90625	0.2952956690322079
52	0	0.88	0110000110111110010100010011101011100000101101100110001100111010	0.8125	0.30896010427794746
53	0	0.92	0110010100111010010100011011101001100001101110100110001110111010	0.84375	0.3417977446201988
54	0	0.9	0110000110111010010000011011101001100001100111100110001110111010	0.875	0.291198818358272
55	0	0.94	0110000110011000010000011011101001100001101110100110001110111010	0.875	0.27786430090219805
56	0	0.92	0110001110111000010000011011101001100001101110100110001110111010	0.90625	0.2758449336914888
57	0	0.94	0110001110111010010100011011101001100001101010100110001100111010	0.84375	0.3007456486966347
58	0	0.92	0110000000111010010100011011111001100000101110100111001110110010	0.84375	0.2860897100190488
59	0	0.92	0110001110110010010101011011101001100001101110100110001110111010	0.84375	0.2892108897468127
60	0	0.98	0110000110111010010000111011101000100001101110100110001110011010	0.90625	0.2694992526762393
61	0	0.94	0110000110111010010000111011101000100001101110100110001110111010	0.9375	0.278446690683446
62	0	0.94	0110000110111010010000111111101000100000101110100110001111111010	0.90625	0.25659719896359695
63	0	0.94	0110001110111010010000011111101000100001101110100110001110111010	0.875	0.258539632754392
64	0	0.98	0110001110110010010000011011101001100001101110100110001110111010	0.90625	0.2727745361931651
65	0	0.96	0110000110111010110000111111111000100001101110100110001110111010	0.84375	0.2684900560261998
66	0	0.96	0110000110111010010000111011101000100001101110000110001110111010	0.90625	0.29412816018126614
67	0	0.92	0110000110111010010000111111101000100000101110100110001111111010	0.90625	0.2737036910828275
68	0	0.94	0110000110111110010000011111111001100001101110100110001110111010	0.875	0.2667515243601729
69	0	0.92	1010000110111010011000011011101001100001101110100110001110111010	0.90625	0.2685755819862338
70	0	0.96	1110001110111010110000011011101001100001101110100110001110111010	0.90625	0.27445639125101456
71	0	1.0	1110001110111010110000011011101001100001101110100110001110011010	0.875	0.26179919298004184
72	0	0.98	0110000110111010010000011011101001100001101110100110001110111010	0.9375	0.2545841557451006
73	0	0.96	0110000110111010010000011011101001100001101110100110001110111010	0.9375	0.25718873182162416
74	0	0.96	0110000110011010111000011011101001100001111110100110001110111010	0.875	0.234964867512239
75	0	0.98	0110000110111010011000011011101001100001101110100110001110111010	0.96875	0.20833994449240834
76	0	1.0	0110000110111010010000111011101001100001101110100110001110111010	0.96875	0.22429256727563682
77	0	1.0	0110000110111010010000111011101001100001101110100110001110111010	0.96875	0.22276867040415652
78	0	0.98	0110000110111010010000111011101001100001101110100110001110111010	0.96875	0.20869225538646763
79	0	0.98	0110000111111010110000011011101001100001111110101110000110011010	0.9375	0.2160214720435118
80	0	1.0	0110000110111010011000111011101001100001101110100110001110111010	1.0	0.24201537486293312
81	0	1.0	0110000110111010011000111011101001100001101110100110001110111010	1.0	0.24699167800618851
82	0	1.0	0110000110111010011000111011101001100001101110100110001110111010	1.0	0.24356101932597252
83	0	1.0	0110000110111010011000111011101001100001101110100110001110111010	1.0	0.22225076304839544
84	0	1.0	0110000110111010011000111011101001100001101110100110001110111010	1.0	0.18625202224435652
85	0	1.0	0110000110111010011000111011101001100001101110100110001110111010	1.0	0.15162945138194692
86	0	1.0	1110000110111010011000101011101001110001101110100110001110111010	0.90625	0.18296336575280067
87	0	1.0	0110000110111010010000111011101001100001101110100110001100111010	0.9375	0.20737438455317453
88	0	1.0	0110000110111010010000111011101001100001101110000110001110111010	0.9375	0.19384947021867238
89	0	1.0	0110000110111010011000111011101001100001101110100110001110111000	0.96875	0.20909889369741838
90	0	1.0	0110000110111110010000111011101001100001101110100110001110111010	0.9375	0.19019289832311972
91	0	1.0	0110000110111010011000101011101001100001101110100110001110111010	0.96875	0.17126279092444252
92	0	1.0	0110000110111010011000101011101001100001101110100110001110111010	0.96875	0.1650897716581607
93	0	1.0	0110000110111010011000111011101001100001101110100110001110111010	1.0	0.1970138076365901
94	0	1.0	0110000110111010011000101011101001100001101110100110001110111010	0.96875	0.19501877222595668
95	0	1.0	0110000110111010011000111011101001100001101110100110001110111010	1.0	0.2023399081302772
96	0	1.0	0110000110110010011000111011101001100001101110100110000110111010	0.9375	0.1934094399759126
97	0	1.0	0110000110111010010100111011101001100001101110100100001110111010	0.96875	0.2146977019541985
