generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.78	01010101000001110111000011101010000100010111000000011000001111110001101101110001011000101100010110010010101101001011100001100110	0.625	0.9802556025715619
1	0	0.82	00111100111100011100010000011101110001110011000010011011000000010000010111110001010010011101110100000110000111010111100111011111	0.625	0.9689145146736788
2	0	0.78	01101100001110010101101011000001110101101001001011011010001000101000100100101010011001011110111100110001110101100010001011001000	0.640625	0.9483703727453134
3	0	0.7	11011110000011000000100110100111001001010100100101100100000100001101101101000010010010011101110000000110000111000111100111010111	0.609375	0.9256940435483114
4	0	0.74	00111100111100011100010000011101110001110011000010111011111010010110101100101101010111100010111011010101011100101110110010001110	0.59375	0.9082075420925184
5	0	0.72	00101111000001001011000110111111100100110111000010110011110010010110101100101101010111100010111011010101011100101110110010001110	0.59375	0.8441983358583008
6	0	0.76	01011100001110110001000110000101001000101011111011011101110010101001110010101010101010001100010110010010101101001011100001100110	0.625	0.8231490746783661
7	0	0.82	01101100001110010101101011000101000100110111000010011011110010010110101100100100000111100010111011010101011100101110110010001110	0.609375	0.7765873129928591
8	0	0.74	00101111001001001011000110111111100100110111000010110011110010010110101100101101010111100010111011010010100110011010010111100010	0.609375	0.7731545595937958
9	0	0.7	00101111000001001011000110110111100100110111000011100100000100001100011111110001010010011001110101100010000110011010010110001010	0.609375	0.7477794628566301
10	0	0.74	01010001010000011101110000001101000001010100000101100100000100001100011000110100000111000010111011010101011100101110110010001111	0.609375	0.7609687443574136
11	0	0.78	01001110101001000000100110100111001001010100100101100100010010010110101101101101010111100110111011010010100110011010010111100010	0.65625	0.7590553085468409
12	0	0.74	00010001010000011111110000001101000001010100000101100100000010010110101100101101010111100110111011110010100110011010010111101010	0.59375	0.7356489724277246
13	0	0.76	11011110100011000000100110100111001001010000000101100100000100001110101100101101010111100110111011110010100110011010001111100110	0.609375	0.7271929442899338
14	0	0.78	11011110101000011001000110111111101000010000100101100100010010010110101101101101010111100110101010010011100110101110110010001110	0.609375	0.6874315768705043
15	0	0.74	10010110101000110100100110100111001001010000000101100100000100001100111011110001010010011001110101100010000100101110110011000110	0.625	0.7063350907953321
16	0	0.78	00010001010000010111110000001111001001010100000101100100010010010110101100011101011010011010110101100010000100101110110010001110	0.625	0.6773789552162812
17	0	0.76	10010110101000011000100110000111001101010100000001100100000100001100111011110001010010011001110101011101111000101110100011100010	0.625	0.6886786581058248
18	0	0.74	00010001010000010111110000110111101100101111000011100100010100010110101100010001011001100010111011110101010101101110100011100010	0.65625	0.6367917394106959
19	0	0.78	10000110101000110101000110111101101101010110100001100100010010010100011111100001011010011010100101100010001111000110010110100000	0.609375	0.6060343317033303
