generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	1.0	00010000110001110000011000010010	0.6875	0.9898259543941427
1	0	1.0	01111001100001011001011100011001	0.75	0.9762949509997433
2	0	0.9	10111100001101111100010111101100	0.75	0.9669047484723542
3	0	1.0	11100001001101111100010111101111	0.625	0.9550955414439886
4	0	0.9	00000001010001101100101111001000	0.625	0.9457933338097165
5	0	1.0	11100111110100111101010111101100	0.6875	0.9190489251374818
6	0	1.0	00000110000011100000011010011100	0.8125	0.8951275750351302
7	0	1.0	11100110000001001100011001001001	0.6875	0.8898732557345593
8	0	1.0	10110000100001001110110101101111	0.6875	0.8601585627520322
9	0	1.0	01011011011001010101010110100101	0.6875	0.8619667950250843
10	0	1.0	11101110010001001010111100101100	0.6875	0.8594365846066232
11	0	0.9	01000001010011100001010110011001	0.625	0.8431816981845346
12	0	1.0	10110111010001100110110111101111	0.6875	0.8017467718557634
13	0	1.0	01000001010011100001000111111011	0.625	0.7757753555938223
14	0	1.0	00000001010000000011110111101010	0.75	0.8052543045493596
15	0	0.9	11100000000001111111001111011111	0.8125	0.7822143202033524
16	0	1.0	00110011110101101100100001001010	0.625	0.7831001932744539
17	0	1.0	11101000001001111111101100001111	0.6875	0.7806967973520025
18	0	1.0	10111000000011111111000111101110	0.6875	0.785332061668945
19	0	1.0	11010000000001111111000111101111	0.75	0.7568476512700498
20	0	1.0	11010000000001111111000111101111	0.75	0.7336836591438957
21	0	0.9	10111100000011111111000111101100	0.6875	0.6904959735034721
22	0	1.0	11100011000001111111000111111111	0.8125	0.7017271892607956
23	0	1.0	10111000010010100011000001001011	0.8125	0.7575786647122421
24	0	1.0	01010011110011110111000111101111	0.8125	0.7554510489219923
25	0	1.0	11100011000001111111000111101111	0.75	0.7477831463188109
26	0	1.0	11001000001011110110100001001111	0.75	0.7249212642807502
27	0	0.9	11010100001011000101000111111111	0.6875	0.7086356382286857
28	0	1.0	01101101001011110110100001001111	0.75	0.7279172022546805
29	0	0.9	11110000001001111111100001111111	0.8125	0.6907502746891808
30	0	1.0	01101000000011110110100001001111	0.9375	0.6833427117249511
31	0	1.0	01110111000001111011001110100111	0.6875	0.6658487124315499
32	0	0.9	01100111000001101111100001101011	0.6875	0.6802564359401585
33	0	1.0	01110111000011110110000111101011	0.6875	0.6723608224561094
34	0	1.0	01100001010011110110100001001111	0.875	0.6780730321172654
35	0	0.9	11100011010010111110000111101011	0.8125	0.6505398609011823
36	0	1.0	01101100000001111111000101111111	0.6875	0.6248896677017599
37	0	1.0	11100110010101110111010111111111	0.75	0.6028511031511871
38	0	1.0	01110110010101110111010111111111	0.75	0.6299094394387763
39	0	1.0	11101001010011111110100001111011	0.75	0.6176296989116443
40	0	1.0	00111001010011111011000001001111	0.8125	0.6295329984844104
41	0	1.0	01100111010101110111000011101111	0.625	0.6652486106448136
42	0	1.0	11100111010101111110100111101100	0.75	0.6569989022429277
43	0	1.0	10000010000001111111100111111111	0.8125	0.6727391250272692
44	0	1.0	11100001010011111110100101011111	0.875	0.6739113096076801
45	0	1.0	10000010000001111110100101011111	0.6875	0.6678104256843062
46	0	1.0	11100011111011111011000011111111	0.75	0.6802961736254727
47	0	1.0	11100011010011111110000101001111	0.9375	0.6995915800955249
48	0	1.0	11101011010011111110000101001111	0.875	0.6908460648859078
49	0	1.0	11111111110110011111100001111111	0.8125	0.6552388971599541
50	0	1.0	11101011010111111110100111001101	0.75	0.5993677141147216
51	0	1.0	01100110010011111110000101001111	0.75	0.5881618792341406
52	0	1.0	11100110010011111110000101001111	0.8125	0.5622595737431975
53	0	1.0	11100000010011111110000101001111	0.9375	0.5349626964426986
54	0	1.0	11100111010011111110000101001111	0.875	0.5285268729751182
55	0	1.0	11101011110011111110010111001101	0.75	0.5409253124983578
56	0	1.0	11100000010111110110000101001111	0.8125	0.522743759664992
57	0	1.0	11101011010011111110000111001111	0.8125	0.507197233070099
58	0	1.0	11111011011011111110000101001111	0.75	0.4777797067164478
59	0	1.0	11100000010011111110000011101111	0.875	0.5087783057616084
60	0	1.0	11101000010111110111000111101111	0.6875	0.5016012416516316
61	0	1.0	11100011010010111110001111001111	0.875	0.5041155691567106
62	0	1.0	11100000011011111111100011111111	0.8125	0.5049958778506013
63	0	1.0	10100011010011111110000101001111	0.875	0.4755808459173939
64	0	1.0	11100001010010111110000101001111	0.9375	0.4344019295749354
65	0	1.0	11000010110011111110000001001111	0.8125	0.3959654000587964
66	0	1.0	11100011010011111110000101001111	0.9375	0.4292887136196454
67	0	1.0	11100001110011111110000101001011	0.875	0.40532439902360157
68	0	1.0	11100011010011111110000101001111	0.9375	0.38897296209466253
69	0	1.0	11000011010011111110000101001111	0.875	0.3520466063466894
70	0	1.0	11100011010011111110001101001111	1.0	0.3330500731436594
71	0	1.0	11100011010011111110001101001111	1.0	0.27577675608081614
72	0	1.0	11100001010011111110000001001111	0.9375	0.28839885199184456
73	0	1.0	11100011010011111110001101001111	1.0	0.24386445326450848
74	0	1.0	11100011010011111110000101001011	0.875	0.23201673758971214
75	0	1.0	11100011010011111110001101101111	0.9375	0.21525362611628174
76	0	1.0	11100011010011111110001001001111	0.9375	0.24482600102855426
77	0	1.0	11100011010011111110001101001111	1.0	0.23115104824515462
78	0	1.0	11100001010011111110000101001111	1.0	0.2384012316029441
79	0	1.0	11100011010011111110101101001111	0.9375	0.259087901039371
80	0	1.0	11100001010011111110001101001111	0.9375	0.24627520441444034
81	0	1.0	11100011010011111110000101001111	0.9375	0.25497883319976583
82	0	1.0	11100011010010111110001101001111	0.9375	0.25357618701838375
83	0	1.0	11100011011011111110001101001111	0.9375	0.27268251276816513
84	0	1.0	11100011110011111110001101001111	0.9375	0.24233467608709966
85	0	1.0	11100011010011111110001101001111	1.0	0.23173166573421403
86	0	1.0	11100011010011111110001101001111	1.0	0.22823304482499626
87	0	1.0	10100011010011111010001101001111	1.0	0.24222491124336623
88	0	1.0	11100001010011111110001101001111	0.9375	0.2263965325516027
89	0	1.0	11100011010011111110001101001111	1.0	0.20560580783016713
90	0	1.0	10100011010011111110001101001101	0.875	0.19581853978011995
91	0	1.0	11100011010011111110001101001111	1.0	0.2255231738431658
92	0	1.0	11100011010011111110001101001111	1.0	0.22427232685478904
93	0	1.0	11100011010011111110011101001111	0.9375	0.21555428380991917
94	0	1.0	11100001010011111110001101001111	0.9375	0.21202977203629064
95	0	1.0	11100011010011111110011101001111	0.9375	0.20542954301805966
96	0	1.0	11100011010011111110001101001111	1.0	0.1863950574238748
97	0	1.0	11100011010011110110001101001111	0.9375	0.1709660740201586
98	0	1.0	11100011010011111110001101001111	1.0	0.1684902094453328
99	0	1.0	11100011010011111110001101001111	1.0	0.14048883970838985
100	0	1.0	11100011010011111110001101101111	0.9375	0.12512137625050515
101	0	1.0	11100010010011111110001101001111	0.9375	0.1387025149660943
102	0	1.0	11100011010011111110001101001111	1.0	0.13620804919713045
103	0	1.0	11100011010011110110001101001111	0.9375	0.14008292112430298
104	0	1.0	11100011010011111110001101001111	1.0	0.14860724283096358
105	0	1.0	11100011010011111110001101001111	1.0	0.1219687547035286
106	0	1.0	11100011010011111110001101001111	1.0	0.11479186986977659
107	0	1.0	11100011010011111110001101001111	1.0	0.1061199807178354
108	0	1.0	11100011010011111110001101001111	1.0	0.08406300156670027
109	0	1.0	11100011010011111110101101001111	0.9375	0.09748589692067863
110	0	1.0	11100011010011111110001101001111	1.0	0.12830780570560477
111	0	1.0	11100011010011111110001101001111	1.0	0.15207516026374757
112	0	1.0	10100011010011111110001101001111	0.9375	0.1702452725777008
113	0	1.0	11100011010011111110001101001111	1.0	0.16685582968616838
114	0	1.0	11101011010011111110001101001111	0.9375	0.15178134421558284
115	0	1.0	11100011110011111110001101001111	0.9375	0.18526835107529185
116	0	1.0	11100011010011111111001101001111	0.9375	0.15161249712097574
117	0	1.0	11100011010011111110001001001111	0.9375	0.17693412174728246
118	0	1.0	11100011010011111110001101001111	1.0	0.19336753230322007
119	0	1.0	11100011010011111110001101001111	1.0	0.18511703200060753
120	0	1.0	11100011010010111010001001001111	0.8125	0.17641962702689956
121	0	1.0	11100011010011111111001101001111	0.9375	0.19375009846137733
122	0	1.0	11100011010011111110001101011111	0.9375	0.1992716927334942
123	0	1.0	11100011010010111010001101001111	0.875	0.19484711198369892
124	0	1.0	11100011010011111110001101001111	1.0	0.179951579813699
125	0	1.0	11100001010011110110001101000111	0.8125	0.18781227964203126
126	0	1.0	11100011010011111110001101001111	1.0	0.16517577104429987
