generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.72	10011110111010101111100001000000100011001100101111111100001010001111100011101101111000110100110100101010101101010000000000011001	0.578125	0.9758300673835988
1	0	0.76	11000000111010011011010101011010010000011111101010110100001010111111001101011000101000110101000000010110100001101011011100011000	0.578125	0.9540366065171041
2	0	0.74	01000100000100110110101000000111011110100000011110001111011111111111110101111010001010101110001010101110010000000100110101101110	0.609375	0.9269026703410417
3	0	0.72	01000100000100110110101000000111011110100000011110001111011111111111110101111010001010101110001001000111101010111001111011011001	0.59375	0.9081651077940074
4	0	0.74	10110010001001010101101000001010011111010101010001000010110000111011010100100100101111111110110101111100000101100100111000001011	0.640625	0.8900483318906117
5	0	0.8	00001000110100000001110101111110011100101100111001000010011010001100010011100101000100111111001010101111010000100100110010000100	0.625	0.8730055033641307
6	0	0.74	11101110100010001011111010011101011110100000011111001001011111111111110101111010001010101110001010101110010000000100110101100000	0.65625	0.8197596652803291
7	0	0.74	11101001000100110110101000000101011110100000011110001111011011111110011011100111010011111110010101111100000110000100110101110000	0.59375	0.8022668661554138
8	0	0.88	00001000110100000000110101111110011101101110111001100000011010101100010011100101000010100000000001101110110010000100110101100000	0.59375	0.7612355884570675
9	0	0.78	10101100110100000001011001000000000011001100101111111100001010001111100011100101000010100000000001101110110010000100110101100000	0.65625	0.7118654495928645
10	0	0.76	00001000110100000001110101111110011100101100111111111100001010011101010011100101010011111101100110110111010001001100111101101110	0.578125	0.7110609547008029
11	0	0.74	00001000110001000000110101111110011101101110111001100000011010101100010011100101000010100000000001101110110010000100110101100000	0.609375	0.7292610932478097
12	0	0.8	11101001000100110110101000001100011100101100111101100000001010101100010011100111010011111110010101111100000110000100110101110000	0.59375	0.7076520346431073
13	0	0.72	11101001000100110110101000001100100011100111100001011110110110001110100111111011001000110000000001101110100010000100110101100000	0.640625	0.6710808125310674
14	0	0.74	11101001000100110110101000001100100011100111100001011110110110000110100111111011001010100000000001101110110010000100010101100000	0.65625	0.6277067259543124
15	0	0.72	11101001010100110110111001011100100011100111011001101000011010101111100011101100001100110010000001101110110000000100010101100000	0.625	0.6586023722485324
16	0	0.74	11101110100100000001110101111110011100100100111111111100001010011101100111111011001000110010000001101110110000000100010101100000	0.625	0.6316711335501686
17	0	0.76	11101110100010000000110101001101100001100111100001011110110110101110100111100101000000100000000001101110110010000100010100100000	0.59375	0.6286885084958901
18	0	0.64	11101001000110110110111000011100100000010111111001011110100110001110100011100101000010100000010001101110100010000100110101101100	0.59375	0.6508114303527766
19	0	0.74	11101110100110000001110101111100100001101110011001111000001011101100110011101000111011110000000001101110110010000100011100100000	0.609375	0.6325607494818853
20	0	0.72	11100000110100000001110101111101101000010111100001100000111010001111100011100101101100010000000001101110110010000100110101100000	0.625	0.6059056857180446
21	0	0.72	00001000110100000010111000001100100000010111111001011111100110001110100011100111000011100110000001101110100010000100110111100000	0.609375	0.5810712955870607
22	0	0.74	00001000110100000010111000001100100000010111111001011111100110001110100011100111100011100110000001101110100010000100110101101001	0.625	0.5290143905194747
23	0	0.74	10101010100100000001110110011100111100110111100001100000011010001000010011100101000010100000000001101110100010010100110111100000	0.609375	0.5350528646580712
24	0	0.74	10101010100100000001110110011100111100110111100001100000001010101000010011100101010010100100000001100110110010000100110000100000	0.609375	0.5274232281466908
25	0	0.72	00001110100100000001110101111110011100010111100001111000000010101000010010100101000100100000000000101110101010000100110011100000	0.609375	0.5315244887158952
26	0	0.74	00001110100100000001110001101110011100101111000001010000011010001111100011100101000010100010000001101010100010000100110101100000	0.625	0.5390880103839195
27	0	0.82	11101001111100000010111000001100101001101110100001011100110110101110100111100101000100100010000000101110101010000100110011100000	0.71875	0.5261533714807968
28	0	0.74	00001110100110100001110101101110100000010111100001111000000010101111110111100101000010100000000001101000100011000100110101100000	0.59375	0.5104155887251118
29	0	0.74	00001110100110100001110101101110100000010110100001111000000010101111100011100101000010100010000001101010100010000100110101100000	0.625	0.4692882112107093
30	0	0.8	00101110100110000001110001100100101100010111100001110000100010101000010010100101000100100000100001101010110100000100110100100000	0.6875	0.4797536339203544
31	0	0.78	00101110100110000001110001100100101100010111110001110000100110101000010010100101000100100000100001101010110100000100110100100000	0.671875	0.4620850633770185
32	0	0.8	00101110100110000001110001100100101100010111100001010000000010101000010010100101000100010000000000101010100010000110110101100010	0.625	0.41063580351976425
33	0	0.78	00001100100110000010111000001100101001101110011001011000001010101110100111000101001100100000000001101010101010001101111001000000	0.609375	0.45218680516055104
34	0	0.74	00101110100110000001111001100100101000010111000001010000000010101000010010100101000100100000100001111010110100000100110100100000	0.65625	0.4706671144850756
35	0	0.78	01101110100110000001110001000100101100010111100001010010000100101000010010100101000100100000100001101010110100000100110100100000	0.671875	0.46478113417028694
36	0	0.78	11101000111100000001110001100100000100010111100001010010000100101000010010100101000100100000100001101010110100000100110100101000	0.640625	0.5035253042465473
37	0	0.78	00101110100110110001110101111110100000010111100001111000001010101100100110100101000100100000100001111010110100000100110000100000	0.625	0.4989764761304669
38	0	0.74	11101010111100000001010001100100101100010111110001110000000110101000010010100101000101100000100001101010110100000100110000100001	0.640625	0.4587133798792107
39	0	0.76	01100010100110000001010001100100101101101110010001111000001010001110100111100101000101100110000001101010110100000100110000100000	0.625	0.4357782718427113
40	0	0.78	11101000011110000001010101111110100000010111100001011000001010101110100111000101000101100110110001101010110100000100110000100000	0.625	0.4047590179578791
41	0	0.76	01100110100110000001011000001100101001101110011000111100001010100110100010100111000100110000000001110010100100000100110000100000	0.59375	0.44449924151163805
42	0	0.76	01100110100110000001011000001100101001101110011000111100001010100110100010100111000100100000100001110010110100000101110000100000	0.640625	0.431418255217724
43	0	0.74	01111110100111000010111000001100101001101110011001011100001010001110100111100101000100100100010000101010110100000101110001100001	0.59375	0.4075131362124586
44	0	0.78	11101110000110000001010001001000111001101110011001011000000110101000010000100101000100100000100101101010110100000000110000100000	0.65625	0.3962911435288207
45	0	0.76	01100110000110000001011100001100101001101110011000111100001010100110100100100111001100100100000101101010111100100100100000100000	0.59375	0.39461631759466886
46	0	0.76	11101110000110000001010001001000101001101110011001001000000110101000010000100101000100100100100100101010110110000101110010100001	0.6875	0.4133310935704502
47	0	0.78	11101110000110000001010001001000101001101110010001111010001000100110101101100101001100100000100001101010110100000111110000000000	0.625	0.4275321074743347
48	0	0.78	01100111100110000001011100000100101000001110001001111100001010110110100100100111000100110100011000101010110100001101110000100000	0.625	0.4490474224610753
49	0	0.88	11101110000110000001010001001000101001101110011001011000001010101110100101000101000100100100100100101010110110000101110000100000	0.65625	0.40669565611203434
50	0	0.8	01110110100111000010111100001000101001101100011101111010001000100110101101100101001100100000110001101010110100000101110000000000	0.625	0.43259976957529117
51	0	0.74	01100110100110100001011100001100101001101010011111101010001010100110100110100111001110100100000101101010111100100100100000100000	0.609375	0.4508085994281151
52	0	0.78	11001011100110100001010001001001101001101110011001011000001010101110100101000101000100100100100100101000111100100100100000100000	0.6875	0.4849647683755252
53	0	0.74	01110110100111001011111100001101101011101110011001001000001010101100100111100101001100100000100001110010110100001100100000100000	0.609375	0.4857442898162218
54	0	0.78	11001011100110101001010001001000101001101110011001011000001010101110100101000101000100100100100100101010110110100101111100100000	0.640625	0.46787942883135764
55	0	0.82	00110110100111001011011100001100101001001110011001111100011010101110100111100101001100100000100001110010111100110100100000100000	0.640625	0.44218120513953835
56	0	0.76	01101110100100100001010001001001101001101110011001011000001010101110100100000101000100100100100100101010111100100100001000100000	0.671875	0.43475454965891935
57	0	0.78	11101110000110000001000000001000001011101110011001011000001010101110100100000101000100100100100100101010111100100100001000100000	0.71875	0.43298759009068016
58	0	0.8	11101110000110000001000000001000001011101110010001011000001010101110100100000101000100100100100100101010111100100100001000100000	0.703125	0.4600169168016464
59	0	0.82	11101110000110000001000000001001101001101110011101011000001010001110010000100101000100100100100000101010111100100100100000000000	0.703125	0.4484572426132348
60	0	0.74	11100110100110100101010001001001101001101110001001011000001010111110100100000101010100100100100101101010110010000111110010101001	0.640625	0.4748504711684135
61	0	0.82	11101110000110011001000000000000001011001110011001011000001010000110010000100101000100100100100000101010111100100100100000000000	0.71875	0.4658341938452912
62	0	0.84	11101110000110011001000000000000001010001110011001011000001010000110010001100101000100100100100000101000011100100100100000100010	0.71875	0.4507657723768444
63	0	0.8	11101110000110011001000000000000001010001110011001011000001010000110010001100101000100100100100000101000011100100100100000100010	0.71875	0.4389815771564438
64	0	0.8	01100110100111001001000001001000001011101111111001011000001010000110010000100101000000100100100000101010111100100100100000000000	0.765625	0.4121693865744315
65	0	0.8	11101110000111000001000001001000001011101101101000001000001011101110100101000101100100100100100100101000011100100100100000100010	0.71875	0.39046746957978645
66	0	0.86	01101110000110010001000000001001001001101110011101011000001010111110110100000101010100100100000000101010111100100100110000000010	0.671875	0.3782420578605723
67	0	0.86	11101110000111000001000001001000001011101101101000001000001011101110100101000101000100100100000000101010111100100100110000100010	0.75	0.3733288954921506
68	0	0.82	11101110000111000001000001001000001011101101101000001000001011101110101101000001100100100100100100101000011100100100100000100010	0.71875	0.38572449649406304
69	0	0.82	01101110000110010001000000001001001001101110011101011000001000000110100101000101000101100100100001101000010100100100100000100010	0.65625	0.4077671994612979
70	0	0.84	11111110000110000001000000001101101001011110011100011000001010111110111100000101110100100000100000101110111100100101100001100010	0.65625	0.4010028728193602
71	0	0.86	11101110000111000001000101001000001011101101101000001000001010111110111100000101010100100100000000101010111101100100110000000010	0.734375	0.4169410093743061
72	0	0.92	11101110000111000001000001001000001011101101101000001000001010111110110100000101010100100100000000101011111100100100000010101010	0.75	0.4156132491575398
73	0	0.88	11101110000111010001000001001000001011101101101000001000001011101110110000000101010100100100000000101011111100100100000010101010	0.78125	0.42684177879492624
74	0	0.8	11101110010111000001000001001000001011101101101000001000001010111110110100000101010100100100100010101010111100101100100000101010	0.765625	0.4225597557609355
75	0	0.92	11101110000111000001000001001000001011101101101000001000001011101110110000000101010100100100000010101000010100101100100000100010	0.75	0.35430682021484416
76	0	0.84	11101110000111000001000001001000001011101101101000001000000011101110110100000101010100100100100011101010111100101100100000101010	0.75	0.3423387161458842
77	0	0.84	11101100010111000001000001001000001011101101101000001000001010111110110100000101010100100101100010101010011100000100100010100010	0.71875	0.30486747667603215
78	0	0.84	11101110000111000001000011001000101011101101101000001000001011101110110000000101110100100100100110101000001110101100100000101010	0.734375	0.30067044183794894
79	0	0.9	11101100000101000000000001001000001010101001101000001000001001101110110100010100000100101100100100101010111100001100101000100010	0.796875	0.3620458956481417
80	0	0.86	11101110000111000001000001001000001011001101101000001000001001101110111110010101000100100100100110101000111100101100100000100001	0.765625	0.36541505611465513
