generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.85	11111010111101010001110011010111	0.6875	0.9796563125816253
1	0	0.9	01110101100011010101101011011100	0.6875	0.9476342961756667
2	0	0.95	01001111001000000011111100100000	0.8125	0.9310748029083795
3	0	0.9	00110010100011010110001010000001	0.75	0.8855239785177588
4	0	0.85	01001111110011010000111111101101	0.875	0.8696764962244636
5	0	0.95	01110111001000100011111100100000	0.8125	0.8162991790323924
6	0	1.0	10001111110011010000111111101101	0.875	0.7438782880397202
7	0	0.85	11101010111010010000111111101101	0.625	0.6855412118952371
8	0	0.9	11111111110010010111111111101101	0.8125	0.6639298167712334
9	0	0.95	01001111110010011001111111000000	0.6875	0.6435939282900232
10	0	0.95	11111110110010010111111100100000	0.75	0.6395272550408898
11	0	0.85	11111110110010010111111100100000	0.75	0.6593168504071162
12	0	0.9	11111110110010010111111100100000	0.75	0.6164384403770345
13	0	0.9	11111111110010010111111100100000	0.75	0.5419872779092757
14	0	0.95	00111111101000000011111111101000	0.875	0.5666996326968281
15	0	0.9	11111110110010010111111111101100	0.75	0.543331170585154
16	0	0.95	11111111111010010111111110101101	0.8125	0.5410805838226096
17	0	0.95	11111111111000000000111000000100	0.8125	0.5341677130760475
18	0	0.9	11111111111000000000111000100000	0.8125	0.5053077802974721
19	0	0.9	11111111110010000011111111101100	0.75	0.4695120807342439
20	0	0.9	11111111111000000011111111101100	0.8125	0.46843017563602907
21	0	0.9	11111111111000000111111010001000	0.75	0.42494956997065
22	0	0.95	11111111111000000011111010000000	0.8125	0.44280659019420393
23	0	1.0	10111110110010000011111010000000	0.8125	0.42522638831238446
24	0	0.95	11111111100010000011111110000000	0.8125	0.4160742791698653
25	0	0.95	11111111111000000011111011111100	0.8125	0.41720404469652994
26	0	0.9	11111111100010000111111110000000	0.875	0.42818852965472404
27	0	1.0	11111111100010000111111110000000	0.875	0.4038928154077687
28	0	0.95	10111111100010000011111110001100	0.875	0.4336460328015027
29	0	0.9	10111111111000100011111110001100	0.75	0.4589252343408158
30	0	0.95	10111111101010000111111111101100	0.75	0.45083250240640393
31	0	1.0	01111111100000100111111110000000	0.9375	0.454962921255258
32	0	1.0	01111111100000100111111110000000	0.9375	0.4241538047087296
33	0	1.0	01111110100010010111111110001100	0.8125	0.4418950923200581
34	0	0.95	10111111100010000011111110001000	0.9375	0.4043117581449989
35	0	1.0	01111111100000100111111110000000	0.9375	0.3569811800644903
36	0	1.0	01111111100000100011111110000000	0.875	0.36211564985854233
37	0	1.0	01111111100000000111111110000000	1.0	0.3421461330426581
38	0	1.0	01111111100000000111111110001000	0.9375	0.2662994717593868
39	0	1.0	01111111100000000111111110001000	0.9375	0.26748066065949383
40	0	1.0	01111111110000000111111110001000	0.875	0.21951976936295434
41	0	1.0	01111111100000000111111110001000	0.9375	0.20991542768554908
42	0	1.0	01111111100000000111111110001000	0.9375	0.20145498968381131
43	0	1.0	01111111100000000111111110001000	0.9375	0.16007687172243415
44	0	1.0	01111111100000000111111110001000	0.9375	0.15381997079005957
45	0	1.0	01111111110000000111111110000000	0.9375	0.13484678605433542
46	0	1.0	01111111100000000111111110001000	0.9375	0.1284755612142725
47	0	1.0	01111111100000000111111110001000	0.9375	0.13796574370202025
48	0	1.0	01111111100000000111111110001000	0.9375	0.1175181975805467
49	0	0.95	01111111100000000111111110001000	0.9375	0.12085542514998764
50	0	1.0	01111111100000000111111110001000	0.9375	0.12031781095321334
51	0	1.0	01111111100000000111111110001000	0.9375	0.1073046475675298
52	0	1.0	01111111100000000111111110000000	1.0	0.10983055536871303
53	0	1.0	01111111100000000111111110001000	0.9375	0.09302079315215903
54	0	1.0	01111111100000000111111110001000	0.9375	0.12550545084908377
55	0	1.0	01111111100000000111111100001000	0.875	0.13237135475382023
56	0	1.0	01111111100000000111111110000000	1.0	0.12676388522141904
57	0	1.0	01111111100000000111111110001000	0.9375	0.14825551342584023
58	0	1.0	01111111100000000111111110001000	0.9375	0.19928599832908783
59	0	1.0	01111111000000000111111110000001	0.875	0.21638000862276033
60	0	1.0	01111111100000000111111110000000	1.0	0.14899200224913678
61	0	1.0	01111111100000000111111110001000	0.9375	0.13951394272493717
62	0	1.0	01111111100000000111111110000000	1.0	0.18689304641124682
63	0	1.0	01111111100000000111111110001000	0.9375	0.16771497429852644
