generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.8	1110001111011110011110111101011000110000100111011000111001100110	0.6875	0.9789538535673001
1	0	0.86	0010011011011111000011011101011000110000100111011000111011100110	0.6875	0.9347154066620187
2	0	0.74	0101101101110010010011100010011000011001100101011110100100001110	0.65625	0.9273920038358402
3	0	0.8	1101010111000010011101100010011100011011000101011110100111010011	0.65625	0.9069387005993668
4	0	0.86	0011110110011100010011100010010000011010000111001010110101001111	0.71875	0.9072377075864074
5	0	0.76	0101101101110010010011100000001011100111100011110010110100100110	0.65625	0.8525296513336864
6	0	0.78	1000100001001101111010100110110110011100100111011000111110011100	0.625	0.8037074279237024
7	0	0.88	0001100110011100010011100010010000011011000111001010110100001110	0.6875	0.7654366850010443
8	0	0.76	0101101101110010010011100000001011110111100011111110100101001110	0.65625	0.7862928253440324
9	0	0.74	0101101101110010010010110110100110010011000101011110100111111111	0.65625	0.7626989769816613
10	0	0.78	0101101101110010010011110010110110011100100100000000110110100110	0.6875	0.774193906027668
11	0	0.74	0101101100001101111110100111110110010011000101011110110100100110	0.625	0.756274625076975
12	0	0.82	0011110111011100010011100010011001111100100111001001111110001110	0.6875	0.7473984617393739
13	0	0.82	0101101101111100010011100010011001111100100111001001111110001110	0.625	0.796134511705906
14	0	0.78	0000100001000010010111100110110110010100100100001010110100111111	0.6875	0.7619882932543168
15	0	0.82	0101101101011100010011100010010110010011100111001001111110001110	0.625	0.7106592751427718
16	0	0.82	0101110001001101111010000100111001110011000101011110100110001111	0.65625	0.6944894811725536
17	0	0.78	1100100001001101110111100010010110010111110101011100110101010011	0.625	0.6772242543429552
18	0	0.78	0101110110011100010011100010011001111100000111001001111110000110	0.71875	0.6543548038853302
19	0	0.82	0101101101001111111010110010011001100011000111011110110100100110	0.75	0.6199495196039388
20	0	0.76	0101110110011100001010110100111001110011000101011100110100101111	0.65625	0.6477375472065338
21	0	0.76	1100100001001101110111101010011011111100000101011100110100101111	0.65625	0.6152148086692772
22	0	0.82	0100100010011100010011101010001001110111000101011100110100101111	0.6875	0.6080614763690797
23	0	0.74	0111101110011100110011100010011001111111111101011110110100100110	0.75	0.5982677636090813
