generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.9	1111111111101111111110100010100101001111010010100101101110100100	0.65625	0.995117723388668
1	0	0.95	1101110000111010001100001111000000000011000101001000111001011010	0.6875	0.9856715045460692
2	0	0.9	0101000100000000001110001110111001101010000100101101010101100000	0.625	0.9750050777988298
3	0	0.85	0101001000100100001000010111001110110001001111001011110111100010	0.625	0.9644754043903871
4	0	0.9	0111011100010101000111110000110100101001100101011001011100100101	0.6875	0.9599786141141469
5	0	0.9	1001010100110100011100011110111011010010100000000010111110000100	0.59375	0.9576719278364303
6	0	0.9	1100000110101000001100110001110010000100001001011110111101010100	0.625	0.944954535088652
7	0	0.85	1101110110100010001111010000100001010000001111011001011100100100	0.625	0.9338549911846189
8	0	0.9	0011001010101010001110010010011000110010111010100011010110110111	0.8125	0.9165582989991576
9	0	0.95	0010000101100010101001010010100001110010100001111100001000110110	0.75	0.9174516667185155
10	0	0.85	0010000110101010000111000010100001110010100001010010111110101000	0.65625	0.9031589924885125
11	0	0.8	1011110111001011100001010010100001110010100001111100001000110110	0.6875	0.8729167439025594
12	0	0.9	0010000101100010101001010010100001111000100000011110111000101100	0.71875	0.8737027246824614
13	0	0.85	0000100000101010100111000100100000010001010111110010111101000010	0.625	0.8624778040990311
14	0	0.85	1001000001001011110001001001010001110010100000010110110000011010	0.71875	0.8557829881224581
15	0	0.9	1101100101101010101010101110000011110101101111001001101010101000	0.625	0.8606890595633913
16	0	0.9	1100000001010001001000011010010000110010100110110100010101110111	0.65625	0.8680670456736392
17	0	0.85	0000100110101010001110110000000000010011000001011001011000101101	0.625	0.8449701045504134
18	0	0.9	1101100101101010101010100000100011110010100000010011110100000100	0.65625	0.8380776108943793
19	0	0.9	0000000110101000100001010010010000010000000000010100011000100010	0.71875	0.8275306508027721
20	0	0.85	0010110101011000000100010010010010011010001100000100011110001110	0.6875	0.8219459723898777
21	0	0.9	1100000001010001001000000100000110111000011010101100011000100110	0.65625	0.8332476408857095
22	0	0.9	1011100111010010101011000000100011110010100011111010011010101100	0.625	0.8276704198245531
23	0	0.9	0010101111010010101011100000100011110010100000010101011110101001	0.65625	0.8150743748285025
