generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.72	01001011001010011011101100011001100010011010010100010010010100110110010111000010110001110101100001110011000001011111010101111000	0.609375	0.9780234307642953
1	0	0.78	00010011011010011011011000010001010100101110000101101000100001011001001110100011100101010010111000100000000110100000100100100000	0.640625	0.9475920146026119
2	0	0.74	01001011001011000101010001111100111010101100011101000011111110010110010000110011110010100110101110010100011111011010100011110001	0.625	0.9354641907382042
3	0	0.74	11111100111000101000100010110001011010000011110000010100001000101111101011000011101110110100010111111011111101110100110000111000	0.625	0.9179294827250442
4	0	0.72	00000001001111000011100110101001001010011100110001000110110010110100111100100000110010110111100110010011011000101001010000010101	0.625	0.9171056495640455
5	0	0.76	10101001000011000101010000010001001010011100110000000110110010110110101100100000100111110101100001110011100001011011010101011000	0.65625	0.8854321970554074
6	0	0.74	00010011011010011011110000010001111010101110011111000011111110010110010000110011110010100101111001010100011110101110100111010000	0.609375	0.8411207538616443
7	0	0.8	00010001001111000011100110101001001010011110001000010100001000111110000011101000000010110111100110010011011000111000110010110010	0.578125	0.803548943941256
8	0	0.76	00010011011010011011011001011100111000101101011101000011111111110110101111010000100000001111000001000010110001000111101000100101	0.609375	0.7812081549931763
9	0	0.76	00010011011010011011101100011100111010101101011101000010111000110110010100101011110101010001111000100000000110000000100100100110	0.65625	0.7445491622587246
10	0	0.8	01010011011010011011010011111110011010100101110001000110110010110110101111010000100010100110101110010100011111101110110100100000	0.609375	0.7391531860025321
11	0	0.8	10010111000001111110100111101001111001011100110011000110110010110110110000010011110011011110111010100000000110100000100100100110	0.65625	0.7356201510632601
12	0	0.76	01010011011010011011010011111100111010100101110001001011111000110100010100101011110101010011010111010100000110000000101100100110	0.625	0.7297797136500682
13	0	0.76	10010111000001111110100111101001111001011100110011000110110010110110110000010011110011011110111010000010111001000110101000100101	0.625	0.7429737694015468
14	0	0.74	01010011011010011011010011111100110010100101110011000110110010110110110000010011110011011110111010011100010110101110100011011000	0.625	0.7480799167509777
15	0	0.78	11010111100011111111011001011100111011011100111011000110110010110110110000010011110011011110111010100000000110100000100100100110	0.625	0.7444493505136576
16	0	0.76	10010111100011111110100110011100001010011100110000000110100001001001001111100011110011011110111010001011001111010100100000100000	0.59375	0.7266860683282275
17	0	0.76	01010011011010011011010001110000011010111111011101000010111001110110010100110000110011011110111010001011101111010100100000100000	0.609375	0.7309329833441539
18	0	0.78	11010111000011111110100111101001111001011101011101001011101111111110101111000000100111110101100001110010110001000110100000100000	0.59375	0.736319509286175
19	0	0.78	00010011011010011011010010111100111010100111110011000110100010110110110001010011110011011111011010100111101111001110100100100000	0.640625	0.7174297091626226
20	0	0.74	10010111011010011011010011111100111110100111110011000110110010110110110001010011110011011111011010100111101111010100000000100000	0.640625	0.6535287742163385
21	0	0.8	01001011000011100101101110011101111001010010001110000110100010110111110001010011110011011110111010001011101111010100100000100110	0.59375	0.6776326245358262
22	0	0.76	11010111000011101011010111111100111010100111110011000110110010110110110001011010110011011101011010100111101111110100000001100000	0.640625	0.6851153420570396
23	0	0.74	00010011011010011011110011111100011011011100111011010110110010110111110001010011110011011110111010001011101111010100100010100110	0.625	0.6630796583011156
24	0	0.84	11010011110011111110100111110001111001011100111011011110110010110110101110011100100101010001111000100000110001010111100110100000	0.609375	0.6754439199305725
25	0	0.74	11010011110111101110100101011100111000101101010101001011111110010110101111000000101110011111011010100111101111010101101100100101	0.609375	0.6326010473725994
26	0	0.78	00000001011011110101101110011101111011011100111011100010101010010110111111000000101100011111000001010010010000010110100100100000	0.640625	0.6402612573668303
27	0	0.74	00011010011000011011110011111100111110100111110011100110101110010110111111000000101100011111000001010010010000010110100100100000	0.625	0.6015086051588535
28	0	0.76	11110111110011111110100110110001111001011100110011100110101010010110111111000000101100011111011010100111101011110100000001100000	0.609375	0.5638294654477454
29	0	0.74	00000001010011110101101110011101111011011100110011000110110011110110100001010001111011011111111001111011110001000110100100100000	0.65625	0.5466407285869402
30	0	0.72	11000111011011110101101110011101111001011100111011100110101010010110101111000000100100011111011010100111101011010110100100100000	0.640625	0.4973943769873616
31	0	0.76	00000011100011110101111111011101111011011100110011100110101010010110101111000000100100011111011010100111101011010110100100100000	0.640625	0.49162404725863895
32	0	0.8	11000111010011011001110011111000111110101111101010100110101010010110110001011010110011111111011011010010000000010110100100100000	0.640625	0.5078214130243741
33	0	0.74	01011101100011110100111110111000111110101111101010100110101010010110110001011010110011111111011010110010010000010110100100100000	0.625	0.5144628440353468
34	0	0.74	11000101011010100101101100011001111011011100111011100110101011010110110001010001111011011110111010010111100011010110100100110000	0.640625	0.5028664350222254
35	0	0.8	10000101011010100101101110011001111011011100111011100110101011010110110001010001111011011110111010010111100011010110100100110000	0.65625	0.5070223796132578
36	0	0.74	11011101011010100101101110011001111010011100101011100110101011010110110001010001111011011110111010011111100011010110100100110000	0.65625	0.5159296275535112
37	0	0.76	11000011100011110111111111011000111110101111101010001110101010010110110001011010110011111111011010100111110000010110100101100000	0.59375	0.5151468358383906
38	0	0.74	00000001010011110101001110011101111011111110111011100110101010010110101111010000100100011111011010100111101111010110101100110000	0.6875	0.5122413677128062
39	0	0.74	00000001010011110101001110011101110011001101101011100110101010010110100001011010110011011111011010100011100001000110100101100000	0.625	0.5416547207698245
40	0	0.78	00000001010011110101001110011101110011001101101011100110101010010110100001011010110011011111011010100011100001000110100101100010	0.625	0.5322843500641022
41	0	0.76	00000001010011110101001110011101110011001101101011100110001010010111100001011010110011011111011010100101110001010110101100110010	0.609375	0.5233112920080357
42	0	0.8	00000001010011110101001110011101110011011100111011100110100010010110110001010000100100011110011010010101100011010110100100110001	0.625	0.46416469060339227
43	0	0.78	00000001010011010101001110011101110011011100111011100110100010010110110001010000100100011110011010010101100011010110100100110001	0.609375	0.4745080223802081
44	0	0.8	00000011010011110001001110111000111111111101111011100110101010010110100111011000101000111111011010100110101011010110100100100000	0.609375	0.46372123722217834
45	0	0.78	00000001000011110101001110011101111011111111101110000110101010110110100001010001111011011111111011010111101111011110100101100000	0.6875	0.4823803456076414
46	0	0.74	00000001010011110101001110011001111011111000110011100110101010010110100000010001111010111110011010100110101011010110101100101010	0.625	0.4497483419900657
47	0	0.8	00000011010011110001001110101000111111111101111011100111101010010010100111010001111010111111011010100110101011010110101100101010	0.59375	0.4173473384969558
48	0	0.86	00000001010011110101001110011001111011111100111011100110100010010110101011010000101000111111111010000110001111011110100101100000	0.640625	0.38121943435393574
49	0	0.78	01000001010011110101001110111101111011111100110011000110001010010110111001010001111010111111011010100110100001000000101100100001	0.640625	0.39527650214074045
50	0	0.76	00000001010011110101001110011001111111111101111011100111100010010010100111010001111110111111011010100110101011010110101100101010	0.640625	0.404403417252709
