generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.9	1001001001110011010011101101100110001100101101101101110100100101	0.6875	0.9887282075312617
1	0	0.9	1101000100101110111001010101001011001101000100010000110111111011	0.65625	0.9810464011166821
2	0	0.8	0001110000100101010000011000101010000001101110001011100011110011	0.625	0.9740114900632432
3	0	0.8	0101101100100101010000011000101010000001110101100111000111001011	0.65625	0.9665363229622415
4	0	0.85	0110110011111100100010001111100100101011000100000000011011001000	0.625	0.9710842544032967
5	0	0.9	1000010110010001011100011000101010000001110101100111000111101011	0.75	0.9648632090179508
6	0	0.9	1110010101010100010001000111111001101010001110010000000100100001	0.65625	0.9622507874983552
7	0	0.8	1010000110100001101101111010111011111111101110110000000100100011	0.6875	0.9516121849556606
8	0	0.9	0001101110001100001110000110110001000001110101100111000111001011	0.6875	0.9303771617526877
9	0	0.85	1000010110010001010100011000101010000001110101100111000111101011	0.71875	0.8975865142357367
10	0	0.8	1001101110100100001110000110110001001010001110010000000100100001	0.625	0.8986488743281824
11	0	0.8	0101110100110010100010011000011100000001110110100000011011001000	0.625	0.8741084834530642
12	0	0.9	0011100100010010110110111000111001010100101101101101110110100101	0.6875	0.8793393423560905
13	0	0.9	1000010110010001111100011000101010000001110101100111000111101110	0.71875	0.8554454104282964
14	0	0.825	1011101100010110100110010111000011111011000110100001001111110101	0.71875	0.838939480397479
15	0	0.8666666666666667	1011101100010110100110010111000011111011000110100001001111110101	0.71875	0.8377965976634604
16	0	0.8125	1011101100010110100110010111000011111011000110100001001111110101	0.71875	0.8517733559720815
17	0	0.81	1011101100010110100110010111000011111011000110100001001111110101	0.71875	0.8420387704550174
18	0	0.95	1000010110010001011100011000101010000001110101100111000111101011	0.75	0.8569955902764113
19	0	0.85	0011100100010010110110111000111001010100101101101101110101011110	0.6875	0.8708348119504105
20	0	0.9	1000010110010001011100011000101010000001110101100111000111101011	0.75	0.8716696004255542
21	0	0.85	1000010110010001011100011000101010000001110101100111000111101011	0.75	0.8828886328413814
22	0	0.825	1011011000000011100001000111000000011100001100110000011011001000	0.75	0.8626610043590447
23	0	0.85	0101110100110010100011011000011100010111101000101110101011101011	0.625	0.8657498848471101
24	0	0.85	0001110001000001100001000111000000011100101100111001010101100000	0.75	0.8559303598505211
25	0	0.9	0011110000000011100001000110000011011100101100111001011001100000	0.78125	0.8581608043484833
26	0	0.875	0011110000000011100001000111000000011100001100110000011001001000	0.75	0.8410169431106681
27	0	0.8583333333333333	0001110000000011100001000111000000011100101100111001010101100000	0.8125	0.836902643841474
28	0	0.9	0011110000000011100001100111000000011100001100110000011010001000	0.71875	0.8160142990876313
29	0	0.85	1110010100000011100001000111000000011100101101110111001111010110	0.65625	0.832924951834817
30	0	0.9	0001110000000011100001000111000000011100101100111001011001100000	0.8125	0.7878444150202802
31	0	0.9	0001110000000011100001000111000000011100101100111001010101100000	0.8125	0.7233333764272194
32	0	0.9	0001110000000011100001000111001000011100101100111001010101100010	0.8125	0.6857244168403807
33	0	0.9	0001110000000011100001010111001000011100101100111001011101100000	0.78125	0.658049738203972
34	0	0.9	0001110000000011100001000111000000001100101100111001011001100000	0.8125	0.5201377446815278
35	0	1.0	0001110000000011100001000111000001011100101100111001010101100010	0.75	0.4169126042409336
36	0	0.9	0001010000000011100001000111000000011100101100111001011001100000	0.78125	0.30850096392933835
37	0	0.9	0001110000000011100001000111000000011000101100111001010101100010	0.75	0.15325267739635584
38	0	0.8833333333333333	0001110000000011100001010111001000011100101100111001011101100000	0.78125	0.1350061282514524
39	0	0.9	0001110000000011100001000110000000011100101100111001011001100000	0.84375	0.10347409924597996
40	0	0.95	0001110000000011100001000111000000011100101100111001011001100000	0.8125	0.09438217555851272
41	0	0.95	0001110000000011100001000110000000011100101100111001011001100000	0.84375	0.08734618799192154
42	0	0.95	0001010000000011100001000111000000011100101100111001010101100000	0.78125	0.08886357720559483
43	0	1.0	0001110000000011100001000111000000011100101100111001010101100000	0.8125	0.1003031027258873
44	0	0.95	0001110000000011100001000111000001011100101100111001011001100000	0.78125	0.10466279337731654
45	0	0.9428571428571428	0001110000000011100001000110000000011100101100111001011001100000	0.84375	0.12219991503220683
46	0	0.95	0001110000100011100001000111000000011100101100111001010101100000	0.84375	0.11625188567398953
47	0	0.95	0001110000000011100001000110000000011100101100111001010101100000	0.84375	0.12191665751868912
48	0	0.95	0001110000000011100001000111000000011100101100111001011001100010	0.8125	0.1274970902573484
49	0	0.95	0001110000000011100001000111000000011100101100111001011001100010	0.8125	0.11681080221724983
50	0	0.9125	0001110000000011100001000111000000011100101100111001010101100000	0.8125	0.10007703769731129
51	0	1.0	0001110000000011100001000111000000011100101100111001010001100000	0.84375	0.11543140746467678
52	0	1.0	0001110010010011100001000110000000011100101100111001011001100000	0.90625	0.13086563724391198
53	0	1.0	0001110010010011100001000110000000011100101100111001011001100000	0.90625	0.13823775922848935
54	0	1.0	0000110000000010100001000111000100011100001100110000011001100000	0.8125	0.14529590388655936
55	0	0.975	0001110010010011100001000110000000011100101100111001011001100000	0.90625	0.15453289026552824
56	0	0.96	0001110010010011100001000110000000011100101100111001011001100000	0.90625	0.1691809522095025
57	0	0.9583333333333334	0001110010010011100001000110000000011100101100111001011001100000	0.90625	0.1658517637528141
58	0	1.0	0001110000000011100001000110000000011100101100111001011001100000	0.84375	0.1659238976071431
59	0	0.975	0001110010010011100001000100000000011100101100111001011001100000	0.875	0.16293120918705628
60	0	1.0	0001110000000011100001000111000100011100001100110000011001100000	0.84375	0.16928671203597184
61	0	0.95	0001110010010011100011000110000000011100101100111001011001100000	0.875	0.16682541599908485
62	0	0.9666666666666667	0001110000000011100001000111000100011100001100110000011001100000	0.84375	0.17709279211941611
63	0	0.9625	0001110000000011100001000111000100011100001100110000011001100000	0.84375	0.18285342613494868
64	0	1.0	0001110010010011100001000110000000011100101100111001011001100000	0.90625	0.16921478155837436
65	0	0.9833333333333333	0001110010010011100001000110000000011100101100111000011001100000	0.9375	0.16417006383801755
66	0	0.975	0001110010010011100001000110000000011100101100111000011001100000	0.9375	0.16506663306465583
67	0	1.0	0001110010110011100011000110000000011100101100111001011001100000	0.90625	0.15571919618073152
68	0	1.0	0001110010110011100001001110000000011100101100111001011001100000	0.90625	0.13881898627611555
69	0	1.0	0001110010110011100011000110000000011100101100111001011001100000	0.90625	0.12154620048542976
70	0	0.96875	0001110010010011100001000110000000011100101100111000011001100000	0.9375	0.11919878636402804
71	0	1.0	0001110010010011100001000110000000011000101100111001011001100000	0.875	0.09158226440150614
72	0	1.0	0001110010010011100001000110000000011100101100111001011001100100	0.875	0.07420142470210545
73	0	0.9666666666666667	0001110010110011100001001110000000011100101100111001011001100000	0.90625	0.07219824934065786
74	0	1.0	0001110000010011100001000110000000011100101100111001011001100000	0.875	0.07068990828676033
75	0	1.0	0001110000010011100001000110000000011110101100111001011001100000	0.84375	0.06566817447832264
76	0	1.0	0001110010010011100001001110000000011100101100111001011001100000	0.875	0.06348408755242575
77	0	1.0	1001110010010011100001000110000000011100100100111001011001100000	0.90625	0.06325312343826882
78	0	0.975	1001110010010011100001000110000000011100100100111001011001100000	0.90625	0.0738200362734466
79	0	1.0	0001110010110011100001000110000000011100101100111000011001100000	0.96875	0.07904293669553507
80	0	1.0	0001100010010011100001000110000000011100101100111000011001100000	0.90625	0.0652840412331272
81	0	1.0	0001110010110011100001000110000000011100101100111000011001100000	0.96875	0.05666084191279288
82	0	1.0	0001110010010011110001000110000000011100101100111001011001100000	0.875	0.06493624004438543
83	0	1.0	0001110010010011100001001110000000011100101100111000011001100000	0.90625	0.07403378142105112
84	0	1.0	0001110010110011100001000110000000011100101100111000011001100000	0.96875	0.06670131729467894
85	0	1.0	0001110010010011100001000110000000011100101100111000011001100000	0.9375	0.07565936754551891
86	0	1.0	0001110010010011100001000110000000011100101100111001010001100000	0.9375	0.06452340983439041
87	0	1.0	0001110010110011100101000110000000011100101100111000011001100000	0.9375	0.07356986867212963
88	0	1.0	0001110010110011100001000110000000011100101100111001000001100000	0.9375	0.07775498874363708
89	0	1.0	0001110010110011100001000110000000011100101100111000011001000000	0.9375	0.07871907052748635
90	0	1.0	0001110010110011100001100010000000011100101100111001010001100000	0.90625	0.08098839262436298
91	0	1.0	0001110010110011100001000110000000011100101100111000011001100000	0.96875	0.06793430556751494
92	0	1.0	0001110010110011100001000110000000011100101100111000011001100000	0.96875	0.06379293529396335
93	0	1.0	0001110110110011100001000110000000011100101110111001010001100000	0.90625	0.06588101655078447
94	0	1.0	0001110010110011100001000110000000011100101100111000011001100000	0.96875	0.07318495842720986
95	0	1.0	0011110010110011100001000110000000011100101100111000011001100000	0.9375	0.06858498656750676
96	0	1.0	0001110010110011100001000110000000011100101100111000011001100000	0.96875	0.07850672611989094
97	0	1.0	0001110010110011100001000110000000011100101100111000011001100000	0.96875	0.05994644370013412
98	0	1.0	0001110010110011100001000110000000001100101100111000011000100000	0.90625	0.0800150267502436
99	0	1.0	0001110010110011100101000110000000011100101100111001010001100000	1.0	0.06274676929110953
100	0	1.0	0001110010110011100101000110000000011100101100111001010001100000	1.0	0.07474728361543694
101	0	1.0	0001110010110011100101000110000000011100101100111001010001100000	1.0	0.06393162208994314
102	0	1.0	0101110010110011100101000110000000011100101100111001010001100000	0.96875	0.07792562524750593
103	0	1.0	0001110010110011100101000110000000011100101100111000011001100000	0.9375	0.08477324585083923
104	0	1.0	0001110010110011100101000110000000011100101100111001010001100000	1.0	0.06483575509728429
105	0	1.0	0011110010110011100101000110000000011100101100111001010001100000	0.96875	0.07111637370951487
106	0	1.0	0001110010010011100001000110000000011100100100111000010001100000	1.0	0.07418313801943276
107	0	1.0	0001110010110011100101000110000000011100101100111001010001100000	1.0	0.07838412092744933
108	0	1.0	0001110010010011100001000110000000011100100100111000010001100000	1.0	0.06782810996319419
