generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.84	1010010100001111000000010000111000111010000110101110110001010011	0.65625	0.9898754301277664
1	0	0.78	1011000000110000010110000000000101001101011111000001110001101101	0.625	0.9795099597613911
2	0	0.78	0001010101010011000000010111010000011010010100000110110100100101	0.6875	0.9653584095497255
3	0	0.78	0101011000111010001000111011100010110011111110100110101110101010	0.65625	0.9433305845138749
4	0	0.84	1001000000100001010110000000000000101010010101000100001100001000	0.75	0.9275151560106515
5	0	0.82	0011101101010010000000010111010000101000010100000100000101011110	0.75	0.9273630344611292
6	0	0.86	0001000001010011000000010101001100101011000000000001000000010111	0.71875	0.8926367753598273
7	0	0.8	1101101100011110110000010110001100101011000000000000000100100101	0.625	0.8559470717742018
8	0	0.82	1011101000010011000001010111010000101000010100100100000101011110	0.6875	0.8204319515762422
9	0	0.86	0110110001010111000100010101110001000111010110000101000000010111	0.71875	0.7895671575199369
10	0	0.82	0001000000010011000000010101001100110011000000000001000000010111	0.78125	0.7697941772715726
11	0	0.8	0001000000010011000000010101001100110011000000000001000000010111	0.78125	0.7867104179799381
12	0	0.8	0110110001010111100100010101110001000111000000000001000000010111	0.71875	0.7706420549774047
13	0	0.84	1101000011010111110100010101110001010111010111100101000101010110	0.75	0.7704606265632812
14	0	0.84	1011101000010011000000010111010000000010010000100011010100100111	0.71875	0.7788357351091058
15	0	0.8	0110110001010111000000010111010000010011110010110001110010101010	0.65625	0.7663743883902883
16	0	0.8	0001000001010111000001010111010000000111010110000101000010001110	0.71875	0.7447682983811855
17	0	0.82	0011101010000111000001000000000100010111010110000101000000001001	0.71875	0.7425236669963917
18	0	0.82	0101000001010011000100010101110001000111010100000010000010010111	0.65625	0.738953476814143
19	0	0.8	0000000001010011000000011000000000101111000000000010000010010101	0.75	0.7390296422122149
20	0	0.92	0101000001010010000001010100000101010111010111100010000000001111	0.71875	0.7107527784628487
21	0	0.9	0101000001010010000001010100000101010111010111100010000000001001	0.71875	0.6882977935825495
22	0	0.84	1001101010011010010010011000000000101111000000000010000010010101	0.65625	0.6614988654779442
