generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.9	1011001001110011111010110010010010001011000110101000110011000100	0.59375	0.9880706979951268
1	0	1.0	0000000000110101101100010110111111010101111111000110110111011000	0.625	0.9787474565158758
2	0	1.0	1010110011111111100000010101101011000010011001110100110111111001	0.625	0.9615401095971096
3	0	1.0	0000000000010110100011010001010001011010000100011000110011000100	0.65625	0.949652496611007
4	0	1.0	0000000000110101101110010110111111010010011110100100110111111001	0.6875	0.932018812460532
5	0	1.0	0101110011010111010111010011011111010110001100110100011111010101	0.6875	0.9223228286433001
6	0	0.9	1111101000010111000110100110100011011001101011110010110111000000	0.65625	0.9235821070970813
7	0	1.0	0000000111100010010111100000101011100001010101010100011111000000	0.6875	0.9005130580425621
8	0	0.9	1011001000011101101000001010100001011010000110111011101101011011	0.59375	0.9035314353705897
9	0	1.0	1111101000110101000011111001010001011010000010011000110100010110	0.6875	0.9019128300942693
10	0	1.0	0111101000110010011111100101010001011010000100010011110000010100	0.78125	0.890970266561555
11	0	1.0	0101101101010110000000010100101011010010000100110100011101000000	0.71875	0.8508702728742316
12	0	1.0	0001101000100101000011111001010001011010000000011001101011010100	0.75	0.8622227308283665
13	0	0.9	1111101000110101000011111001010001010001100111011000110001001001	0.625	0.8238875984189973
14	0	0.9	0011001000011101101101111001110001011010000110111011100101100101	0.59375	0.8046287936048867
15	0	0.9	0111101000010010000100101000000011011010001110111011111101011100	0.625	0.799140928791738
16	0	1.0	1111101010010010000100101000000001011010001110111011111101011100	0.65625	0.7907524719611742
17	0	1.0	0111101000010010000100110001010001011010000100010001011111011000	0.75	0.7972127238197709
18	0	0.9	0101110000110101101100101000000001011010000100010001001111001000	0.71875	0.7277296895284976
19	0	1.0	0111101000110101000011111000000001011010001110111011111111000100	0.71875	0.7003702170154409
20	0	1.0	0111101000010010000100101000000011011011000010011001111111001000	0.625	0.6932631616270383
21	0	1.0	0010101000000000100111111001010010111010000100010001111111001000	0.71875	0.6883422005961947
