generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.9	1011101101001010010001100000110100101010010000011111011000101100	0.65625	0.9899572312518097
1	0	0.85	0100100011110010111101100001110001111011000010111100111110111001	0.625	0.9771230946146356
2	0	0.95	1000011010111010111011110100011111101010001011111111110111111101	0.65625	0.9485610070533911
3	0	0.85	1001001101100110110111110100101110101111110110111111110111111101	0.71875	0.9361777536614869
4	0	0.875	1001001101100110110111110100101110101111110110111111110111111101	0.71875	0.9288485134071209
5	0	0.825	0101010001000110100101111011101110101100011110010101110110011100	0.625	0.9166893556542479
6	0	0.85	0011111001010110101001011110100001101101001100000011010001100000	0.59375	0.9014062073222497
7	0	0.9	0011111111011100111110001101111100000000010010011111000111001101	0.65625	0.8830081600430468
8	0	0.9	1001001101100110110111110100011111101010011011111101011001100111	0.6875	0.8382946324789443
9	0	0.85	0111010111011000000111001110000000110101011010101111110111011001	0.625	0.8188485705708954
10	0	0.95	1011111111011100111111010100101110101111010111111111110111111101	0.71875	0.7946017278245354
11	0	0.9	1001001101000110110111011001111110111010011111100011110111111101	0.6875	0.774765521371267
12	0	0.875	0011111001010110101001111110100000111111010111111111110111111101	0.6875	0.750930471413849
13	0	0.9	1001001101000110110111011001111110111010011111111111110111111101	0.71875	0.7488972470248485
14	0	0.9	0011111101100110110111111000101111101010110111111111110111111101	0.71875	0.7128020998137434
15	0	0.95	0111111101010100011111010100101110101111010111111111010111111101	0.75	0.7090038088980044
16	0	0.9	1011011101000110110111011001111111111011011111100011110111111101	0.75	0.6857812794444534
17	0	0.95	0011001101100110111000111110011111101111110110111111110111111101	0.75	0.6339675012743899
18	0	0.95	1011011101100110110111011001111111111010011101100011110111111101	0.75	0.603097573252416
19	0	1.0	1001001101000110110111111000101111101010110111111111110111111101	0.6875	0.5745710544459506
20	0	0.95	1011011101100110110111011011111111111010011011111111110111101101	0.78125	0.5561413333269037
21	0	0.95	0001001101100110110111111010101111101010110101110100010111111101	0.6875	0.477121749658117
22	0	0.9	1011011101100110110111011001111111111010010111111111110111111101	0.8125	0.46555473016031884
23	0	0.9	0111111101010100011111010100101111101010010110111111110111111101	0.71875	0.4448068461579721
24	0	0.9	0111111101010100011111010100101111101010111111111111110111111101	0.78125	0.4604481713053482
25	0	0.9	0011011101100111110111011001111111111010011111111111110111101101	0.78125	0.42675393596443284
26	0	1.0	1011111101100110110111111100101111101010010011111111110111111101	0.71875	0.4198535041099041
27	0	0.95	1011011101100110110111011001110111111010011111111111110111101101	0.78125	0.44076670468068874
28	0	0.95	0001001111110100010111111111101111111010111111111111110111111101	0.75	0.4273266023810601
29	0	1.0	1011011101100110111111011011101111111010010111111111110111111101	0.78125	0.3644642507684267
30	0	1.0	0011011101100110111111011011101111111010010111111111110111111101	0.78125	0.3164297162892956
31	0	0.95	1011011101100110110111111001111111111010010111111111110111111101	0.8125	0.2503761261922187
32	0	0.95	1011011101100110111111011011101111111010010011111111110111111101	0.78125	0.2601491108173826
33	0	0.95	1011011101100110110111011001111111111010010111111111110111111101	0.8125	0.26143409765142434
34	0	0.95	1011011101100110111111011010101111111110010011111111010111111101	0.75	0.27936716805565553
35	0	0.95	1011011101100110110111111001111111111010010111111111110111111101	0.8125	0.25840503680764676
36	0	0.9375	0011011111100110110111111001111111111010011111111111110111111101	0.84375	0.26535471657702187
37	0	0.95	1011011101100110111101011001111111111010011111111111110111111101	0.8125	0.25507147719096357
38	0	0.95	1011011101100110110111111001111111111010011111111110110111111101	0.875	0.2546992526444475
39	0	1.0	0011011101100110110111111001111111111110011111111111110111111101	0.84375	0.2560219785774346
40	0	0.95	1011011101100110110111111001111111111010011111111111110111111101	0.84375	0.21569760635508914
41	0	1.0	0011011111100110110111111001111111111010011111111111110111111111	0.84375	0.17959958716891006
42	0	0.975	0011011111100110110111111001111111111010011111111111110111111111	0.84375	0.16284364410792318
43	0	1.0	1011011101100110110111111001111111111110011111111111110011111101	0.84375	0.15581398355990478
44	0	0.95	1011011101100110110111111001111111111000011111111110110111111101	0.84375	0.17371415658680425
45	0	1.0	0011011111100110110111111001111111111010011111111111110111111101	0.84375	0.18577617347539102
46	0	0.975	0011011111100110110111111001111111111010011111111111110111111101	0.84375	0.20069674379922653
47	0	1.0	1011011101110110110111111001111111111000111111111110110111111101	0.8125	0.21575356668924378
48	0	1.0	1011011101100110110111111001111101111010011111111110110111111101	0.875	0.20470530388832903
49	0	1.0	0011011011100110110111111001111101111010011111111110110111111101	0.84375	0.21253012448727154
50	0	1.0	0011011101100110110111111001111111111110011111111111110111111101	0.84375	0.20005242030226564
51	0	0.9666666666666667	0011011011100110110111111001111101111010011111111110110111111101	0.84375	0.1949294968132148
52	0	1.0	1011011101100110110111111001111111101010011111111110110111111101	0.84375	0.19439393330473437
53	0	1.0	1011011101100110110111111001111111111110011111111111110111111101	0.875	0.18983129660953776
54	0	1.0	1011011101100110110111111001111111111110011111111111110111111101	0.875	0.17566681901274886
55	0	0.95	1011011101100110110111111001111111111110011111111111110111111101	0.875	0.16696026781994885
56	0	1.0	1011011101100111110111111001111111111110011111111110110111111101	0.875	0.15731877526818613
57	0	1.0	1011011101110110110111111001111111111110011111111111110111111101	0.875	0.17835998735960154
58	0	1.0	1011011101100110110111111001111111111110011111111111110111101101	0.84375	0.17114653020300125
59	0	1.0	1011011111100110110111111001111111111110011111111110110111111101	0.90625	0.17491506540746773
60	0	1.0	1011011101100111110111011001111101111010011111111110110111111101	0.875	0.19336587249553233
61	0	1.0	1011010101100110110111011101111111111110011111111111110111111101	0.8125	0.20074943499534562
62	0	1.0	1011011101100110110111111001111111111110011111110110110111111101	0.875	0.17042036253537082
63	0	0.96	1011011111100110110111111001111111111110011111111110110111111101	0.90625	0.1935794054972705
64	0	1.0	1011011101100111110111111001111111111010011111111110110111111101	0.875	0.2002880948988187
65	0	1.0	1011011101100110110111111001111111111110011111110111110111111101	0.875	0.1605047344290423
