generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.85	0110111000011000101000011111110110000010100110011111110000011000	0.65625	0.9881884440898636
1	0	0.85	0110111000011000101000011111110110000010100110011111110000011000	0.65625	0.9768825953341082
2	0	0.9	1101010101011111010010111011110100000010100110011111110001100111	0.625	0.9610797735183544
3	0	0.9	0000000011001011100010011101101110110000001001001000111110110110	0.625	0.9526418602796386
4	0	0.95	0011010100111001101000010011011001111000011100001001010011001110	0.65625	0.9279849734625498
5	0	0.85	0000111110111011010000100000001000010110100010011100001110000000	0.6875	0.9194719689224821
6	0	0.9	0001011010010001101000100000001000010110100010011100001110000000	0.78125	0.9018165334298835
7	0	0.95	0001011010010001101000100000001000010110100010011100001110000000	0.78125	0.8959563015505356
8	0	0.85	1001000000011000101001100110000011011110011000001101010011001111	0.59375	0.8846195368409758
9	0	0.85	0001000111001101010000101001001110100111011001010011111010001111	0.625	0.8845044012007772
10	0	0.85	0001011010010001101000100000001000010110100010011011111010001110	0.75	0.8462001708296267
11	0	0.95	0000111111100011010001101000010000110010111000011100001110000000	0.6875	0.7972667792993434
12	0	0.9	0000111111001101010000100000010011111000011000001110111111011000	0.65625	0.7739550298083628
13	0	0.9	0001011010010001101000010011011001111110100010011101001100110110	0.71875	0.7650457460524914
14	0	0.85	0001011010010001101000100000001000011000001011000000001100110110	0.65625	0.7520248661428729
15	0	0.9	0001011010010000010000100010010000010110100001001101010001000110	0.71875	0.7497784729752437
16	0	0.95	0001011010010000010000100010010000010110100001001010110001000100	0.6875	0.7422919263774654
17	0	0.9	0001011010111001101010100000011000110010101011000000001100010110	0.6875	0.719880289907908
18	0	0.9	0001011010111001101000100000011000010110101000001010110001000100	0.75	0.6839103943141777
19	0	0.9	0100111111010001101000100010000000110000011010011101001100101111	0.71875	0.6620464216286276
20	0	0.95	0000000001001011010001100010000000110010111011000000001000110110	0.6875	0.6706884148309267
21	0	0.95	0000000000011000110000100000000000011000001011000000000011000100	0.78125	0.6282203257716616
22	0	0.95	0001011010011000110000100010000000010110100010011101001100110110	0.78125	0.6397986852102351
23	0	0.9	0001011010111001101000100000011000010110101000001010011010101110	0.78125	0.6334329320467794
24	0	0.95	0001011010011000110000100010000000010110101100001001001100110100	0.78125	0.6217155105758853
25	0	1.0	0001011010111000110000100010000000010110100010011101001100110110	0.75	0.5693298529377694
26	0	0.95	0001011010011000110100100010000000010110100010011101001100110110	0.8125	0.5048107165258947
27	0	0.95	0001011011111001110000100000011000010110100010011111000001000110	0.78125	0.4543220319473317
28	0	0.95	0001011010101101101000100000011000010110001011000000001000110110	0.8125	0.4658260817312466
29	0	1.0	0001011010111001101000100000011000010110101100001010001100110110	0.84375	0.43490435214293977
30	0	1.0	0001011010111001101000100000011000010110101101001000001100110100	0.75	0.4028621691398762
31	0	1.0	0001011010101000110000100010011000010110100000001001000000110110	0.8125	0.3792654370619915
32	0	0.95	0001011010011000110100100010000000010110100010011101001101000100	0.8125	0.40210514866312996
33	0	0.95	0001011010011001101000100000011000010110101100001010001100110110	0.8125	0.3981664484291504
34	0	0.95	0001011010111001101000100000011000010110101100101010001100110110	0.8125	0.3877058686622976
35	0	1.0	0001011010111011110000100001011000010110101100101010001100110110	0.8125	0.3673340015336215
36	0	1.0	0001011010001000110000100001011000010110100010011101001100110110	0.875	0.37756621831453957
37	0	0.95	0001011010100000110000100001011000010110101100001010001100110110	0.84375	0.38132690230596966
38	0	0.95	0001011010011101110100100000011000010100100010011101001100110110	0.8125	0.3897055504795541
39	0	1.0	0001111010111000110000100001011000010110101100001010001100110110	0.8125	0.37953770912317797
40	0	1.0	0001011010011001101001100000011000010110101110011001001100110110	0.78125	0.36269504899288985
41	0	1.0	0001011010011001101000110000011000010100101100001010001100100100	0.8125	0.3440107047359258
42	0	1.0	0001011010001000110000100001011000010110100010011101001100110110	0.875	0.350409492178277
43	0	1.0	0001011010011001101000110100011000010110100010001110001100100100	0.8125	0.35093657885603363
44	0	1.0	0001011010001000110000100001011000010110100010011101001100110110	0.875	0.331156375206879
45	0	0.95	1001011010011001101000110010011000010110101110011010001100110110	0.90625	0.3467322024877519
46	0	1.0	1001011010111001101000110011011000010100101110011010001100100100	0.875	0.3664420230906578
47	0	1.0	1001011010111001101000110011011000010100101110011010001100100110	0.90625	0.3298929105336589
48	0	1.0	0001011010011001101000110010011000010110100010011010001100110110	0.9375	0.30082222828595867
49	0	1.0	1001011010011001101000110010011000010110101110011010001100100100	0.90625	0.2841702342037518
50	0	1.0	1001011010011001101000110010011000010110101110011010101100100110	0.90625	0.26034723251092123
51	0	1.0	0001011010011001101000110100011000010110100110001110001100010110	0.875	0.24922833904836378
52	0	1.0	1001011010111001101000110010011000010110101110011010101100100110	0.9375	0.22564602204054393
53	0	1.0	0001011010011001101000110010011000010110100010011010001100110110	0.9375	0.19427871314963613
54	0	1.0	0001011010011000101000110010011000010100100100001010001100100110	0.9375	0.20911617061802615
55	0	1.0	1001011010001001101000110010011100010110101110011010101100100110	0.84375	0.19885098716192584
56	0	1.0	0001011010011001101010110010011000010100101110011010001100100110	0.90625	0.22107000437046642
57	0	1.0	0001011010011001101000110010011000010110100110001010001100100110	0.96875	0.2191649815098656
58	0	1.0	1001011010111001101000110010011000010110101110011010001100100110	0.96875	0.21559141695892858
59	0	1.0	0001011010011001101010110010011000010110101110011010001100100100	0.90625	0.19284831291376892
60	0	1.0	0001011010011001101000110010011000010110100110011010001100110110	0.96875	0.19277185672272576
61	0	1.0	0001011010011001101010100010011000010110100010011010000100100110	0.875	0.16817344575344345
62	0	1.0	0001011010011001101000110010011000010110101110011010001100100110	0.96875	0.1825733638674457
63	0	1.0	0001011010011001101000110010011000010110101110011010001100100110	0.96875	0.17218780395573438
64	0	1.0	0001011010011001101000110010011000010110101110011010001100100110	0.96875	0.15629154696104836
65	0	1.0	0001011010111001101000110010011000010110100110011010001100110110	0.9375	0.15487879559748952
66	0	1.0	0001011010011001101000110010011000010110101110011010001100100110	0.96875	0.15547567538823523
67	0	1.0	0001001010011001101000110010011000010110101110011010001100100110	0.9375	0.1554377381940588
68	0	1.0	0001011010011001101010110010011000010110100110011010001100100110	0.96875	0.15645893214157364
69	0	1.0	0001011010011001101000110010011000010110101110010010001100100100	0.90625	0.16041891626430857
70	0	1.0	0001011010011001101000110010011000010110101110011010001100100110	0.96875	0.1802792423612275
71	0	1.0	0001011010011001101000110010011000010110101110010010101100100110	0.90625	0.14114774619937354
72	0	1.0	0001011010011001101100110010011000010110100110011010001100100110	0.96875	0.15002908306777987
73	0	1.0	0001011010011001101000110010011100010110101110011010001100100111	0.96875	0.15732282698000216
74	0	1.0	0001010010111001101000110010011010010110101110011010001100100110	0.9375	0.15516328927377787
75	0	1.0	0001011010111001101000110010011000010110101110011010001100100110	1.0	0.17410539953272752
76	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.1489968668426029
77	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.13796938970053896
78	0	1.0	0101011010011001101000110010011000010110100110011010001100100110	0.96875	0.14067382114351332
79	0	1.0	0001011010011001101000110010011000010110101110011010001100100110	0.96875	0.13686875436493717
80	0	1.0	1001011010011001101000110010011000010110100110011010001100100110	0.96875	0.14465154473887032
81	0	1.0	0001111010011001101000110010011000010110100110010010001100100110	0.9375	0.14118985972088952
82	0	1.0	0101011010011001101000110010011000010110100110011010001100100110	0.96875	0.16251124582573093
83	0	1.0	0001011010011001101000110010011000011110100110011010001100100110	0.96875	0.1530754900229939
84	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.12442950780203706
85	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.1316989025869594
86	0	1.0	0001011010011001101000110010011001010110100100011010001100100110	0.9375	0.12876873833767105
87	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.13563441007846583
88	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.1450791374759033
89	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.1345362607761909
90	0	1.0	0001011010011001101000110010011000010110100110011010011100100110	0.96875	0.13400619214717244
91	0	1.0	0001011010011001101000110110011000010110100110011010001101100110	1.0	0.13716054732938904
92	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.13099213043084884
93	0	1.0	0001011010011001101000110010011000010110100110011010001100100100	0.96875	0.11142166043501833
94	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.12924584506867312
95	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.12005085388585361
96	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.12248410511239329
97	0	1.0	0001011010011001001000110010011000010110100110011010001100100110	0.96875	0.11607109847404021
98	0	1.0	0001011010011001101000110010011000011110100110011010001100100110	0.96875	0.12151827628094695
99	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.1394257291821584
100	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.14077642188095485
101	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.14958136880872855
102	0	1.0	0001011010011001101000110010011010010110100110011010001100100110	0.96875	0.1439910857194133
103	0	1.0	0001011010011001101000110010011000010110100110011011001100100110	0.96875	0.12234020388348182
104	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.10344935684609949
105	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.09725054085988742
106	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.10117794755316226
107	0	1.0	0001011011011001001000110010011000010110100110011010001100100110	0.9375	0.10721938940704956
108	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.07943511511954476
109	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.08675178300129462
110	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.0957304827286433
111	0	1.0	1001011010011001101000110010011000010110100110011010001100100110	0.96875	0.10331776530925535
112	0	1.0	0001011010011001101000110010011000010110101110011010001100100110	0.96875	0.09253451644192674
113	0	1.0	0001011010011001101000110010001000010110100110011010001100100110	0.96875	0.09864082000423662
114	0	1.0	1001011010011001101000110010111000010110100110011010001100100110	0.9375	0.12109456491730759
115	0	1.0	1001011010011001101000110010011000010110100110011010000100100110	0.9375	0.12950677299218863
116	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.11928701686448061
117	0	1.0	0001011010011001101000110000011001010110100110011010001100100100	0.90625	0.1312286789560361
118	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.16277644661913546
119	0	1.0	0001011010011001101000110010111000010110100110011010001100100110	0.96875	0.1483244438335145
120	0	1.0	0001011010011011100000110010011000010110100110011010001100100110	0.9375	0.12037092704253026
121	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.11276996113795594
122	0	1.0	0001011010011001101000111010011000010110100110011000001100100110	0.9375	0.12157248270861123
123	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.08978598276378881
124	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.09673360823215565
125	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.10097388367861919
126	0	1.0	0001011010011001100000110010011000010110100110011010001100100110	0.96875	0.1173755995967177
127	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.1176441943171553
128	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.10262251960343163
129	0	1.0	0001011010011001101001110010011000010110100110011010001100100110	0.96875	0.09974495619736926
130	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.10205674147763105
131	0	1.0	0001011010011001101000110010011000010100100110011010001100100110	0.96875	0.09719033563322256
132	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.11430453692358293
133	0	1.0	0001011010011001101000110010011000110110100110011010001100100110	0.96875	0.10543010723854863
134	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.12428242663640768
135	0	1.0	0001011010011001001000110010011000010110100110011010011100100110	0.9375	0.11782761556617649
136	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.0929624359355981
137	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.08737781915339322
138	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.11143368836831809
139	0	1.0	0001011010011001101000100010011000010110100100011010001000100110	0.96875	0.12493470188898734
140	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.12009255690392687
141	0	1.0	0001011010011001001000110010011001010110100110011010001100100110	0.9375	0.10506864534511562
142	0	1.0	0001011010011001101000110010011000010110110110011010001100100110	0.96875	0.12061469523952041
143	0	1.0	0001011000011001101000110010011000010110110110011010001100100110	0.9375	0.12223782113621218
144	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.13560405684479998
145	0	1.0	0001011010011001101000110010011000010110100110011000001100100110	0.96875	0.13015682209583793
146	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.12508307071271535
147	0	1.0	0001011010011001101000110010011000010110100110011000001100100110	0.96875	0.11685076937282968
148	0	1.0	0001011010010001101000110010011000010110100110011010001100100110	0.96875	0.10676655177539579
149	0	1.0	0001011010011001101000110010011000010110100110011010001100100110	1.0	0.10892615908373958
